zone,dron,blok,t_dilim_blok_ici,t_dakika_global,hex,risk,max_interval_dk
S2,D1,6,4,640,H2339,5.05,262.17391304347825
S2,D1,6,6,660,H2159,5.65,246.52173913043475
S2,D1,6,8,680,H1907,5.5,250.43478260869563
S2,D1,6,10,700,H1955,6.1,234.78260869565216
S2,D1,7,0,720,H2003,7.45,199.56521739130432
S2,D1,7,2,740,H2003,7.45,199.56521739130432
S2,D1,7,4,760,H2033,6.25,230.86956521739128
S2,D1,7,6,780,H1643,5.35,254.3478260869565
S2,D1,7,8,800,H2003,7.45,199.56521739130432
S2,D1,7,9,810,H1613,3.85,293.47826086956525
S2,D1,7,10,820,H1943,5.8,242.6086956521739
