zone,dron,blok,t_dilim_blok_ici,t_dakika_global,kaynak,hedef
S2,D6,12,0,1320,S2,S2
S2,D6,12,2,1340,H1697,S2
S2,D6,12,4,1360,H1805,S2
S2,D6,12,6,1380,H1799,S2
S2,D7,1,0,0,S2,H1673
S2,D7,1,11,110,H2357,S2
S2,D7,2,0,120,S2,S2
S2,D7,2,10,220,H1931,S2
S2,D7,3,0,240,S2,S2
S2,D7,3,2,260,H2153,S2
S2,D7,3,9,330,H2159,S2
S2,D7,3,11,350,H1685,H1499
S2,D7,5,0,480,S2,S2
S2,D7,5,2,500,H2075,H1961
S2,D7,5,3,510,H1961,H1949
S2,D7,5,4,520,H1949,H2063
S2,D7,5,5,530,H2063,H1943
S2,D7,5,6,540,H1943,H1937
S2,D7,5,7,550,H1937,H1829
S2,D7,5,8,560,H1829,H1823
S2,D7,5,9,570,H1823,H1817
S2,D7,5,10,580,H1817,H1811
S2,D7,5,11,590,H1811,H1733
S2,D7,7,0,720,S2,H1805
S2,D7,7,1,730,H1805,H1907
S2,D7,7,2,740,H1907,H1901
S2,D7,7,3,750,H1901,H1895
S2,D7,7,4,760,H1895,H1787
S2,D7,7,5,770,H1787,H1673
